sheet	row	نام	پنیر پیتزا ##1	گوشت رست بیف ##2	ژامبون سه گانه ##3	پپرونی ##4	مرغ پیتزا ##5	گوشت چرخ کرده ##6	کباب ترکی ##7	سوسیس کراکف ##25	خمیر پیتزا ##26	فلفل دلمه میکس ##31	قارچ اسلایس شده ##32	سس گوجه کف ##33	سس کف رست بیف ##36	سس الفردو پیتزا ##37	زیتون سیاه ##30	جعفری ##45	سه پایه پیتزا ##63	کارتن امریکایی ##55	استیک ##8	فیلادلفیا ##9	تعداد مینی برگر  ##10	سس رست بیف ##36	تعداد مینی مک ##43	کارتن ایتالیایی ##54	سینگل مربع ایتالیایی ##59	گوشت رستبیف فرنگی ##11	مرغ فرنگی ##12	پنیر پیتزا میکس	قارچ فرنگی ##40	پنیر پارمیسان ##13	پاستا پنه خام ##44	تعداد برگر ##14	تعداد بیکن ساندویچ ##15	تعداد هات داگ ##16	تعداد فیله مرغ سوخاری ##17	تعداد فیله مرغ سوخاری تند ##18	تعداد سینه مرغ سوخاری ##19	تعداد نان مک ##41	تعداد نان باگت ##42	تعداد پنیر گودا پنیر گودا فرنگی ##69	تعداد بال و کتف ##20	سالاد کنتاکی##46	تعداد مینی مک کانتر ##47	قارچ سوخاری ##39	جعبه سوخاری ##53	جعبه سیب و قارچ ##52	ظرف سالاد کنتاکی ##60	تعداد پرس مرغ رول سوخاری ##21	کاهو پاک شده ##27	روغن زیتون ##28	گوجه گیلاسی ##29	تعداد پنیر رول سوخاری ##38	ژامبون مرغ و گوشت میکس ##22	گوشت چرخ کرده فرنگی ##23	تعداد لقمه مرغ سوخاری ##24	پنیر گودا لیوانی ##74	پرس دورچین استیک ##48
پیتزا امریکایی	2	رستبیف #71	180.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0	0.0	0.0	20.0	0.0	8.0	0.0	1.0	1.0																																							
پیتزا امریکایی	3	تگزاس #309	180.0	0.0	0.0	50.0	0.0	85.0	0.0	0.0	230.0	10.0	30.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0																																							
پیتزا امریکایی	4	مخلوط #74	180.0	0.0	60.0	0.0	70.0	30.0	0.0	0.0	230.0	10.0	30.0	20.0	0.0	0.0	8.0	0.0	1.0	1.0																																							
پیتزا امریکایی	5	چیکن آلفردو #65	180.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	230.0	10.0	30.0	0.0	0.0	10.0	0.0	10.0	1.0	1.0																																							
پیتزا امریکایی	6	یونانی #76	180.0	0.0	70.0	0.0	80.0	0.0	0.0	0.0	230.0	10.0	30.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0																																							
پیتزا امریکایی	7	پپرونی #75	180.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0	230.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0																																							
پیتزا امریکایی	8	بیکن #308	180.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	230.0	10.0	30.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0																																							
پیتزا امریکایی	9	دونر #400	180.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0	230.0	10.0	30.0	0.0	20.0	0.0	8.0	0.0	1.0	1.0																																							
پیتزا امریکایی	10	میت #27	180.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	230.0	10.0	30.0	20.0	0.0	0.0	8.0	0.0	1.0	1.0																																							
پیتزا امریکایی	11	کراکف #766	180.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	230.0	10.0	30.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0																																							
پیتزا امریکایی	12	مخصوص #767	180.0	0.0	90.0	0.0	0.0	0.0	0.0	90.0	230.0	10.0	30.0	20.0	0.0	0.0	8.0	0.0	1.0	1.0																																							
پیتزا امریکایی	13	مخصوص #1	180.0	0.0	90.0	0.0	0.0	0.0	0.0	90.0	230.0	10.0	30.0	20.0	0.0	0.0	8.0	0.0	1.0	1.0																																							
پیتزا ایتالیایی	2	اینجا پیتزا #61	250.0	130.0	0.0	0.0	0.0	0.0		0.0	280.0	0.0	0.0	0.0		0.0	8.0	0.0	1.0		0.0	0.0	1.0	40.0	1.0	1.0	1.0																																
پیتزا ایتالیایی	3	پیتزا استیک #62	100.0	0.0	0.0	0.0	0.0	0.0		0.0	280.0	0.0	0.0	0.0		45.0	0.0	10.0	1.0		120.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	4	پیتزا چهارفصل #63	140.0	0.0	50.0	50.0	80.0	0.0		0.0	280.0	10.0	40.0	20.0		0.0	8.0	0.0	1.0		50.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	5	پیتزا کاپری چیوسا #310	190.0	0.0	130.0	0.0	0.0	0.0		0.0	280.0	10.0	40.0	20.0		0.0	8.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	6	پیتزا ناپولی #87	150.0	0.0	0.0	130.0	0.0	0.0		0.0	280.0	0.0	0.0	0.0		50.0	0.0	10.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	7	پیتزا چیکن باربیکیو #73	190.0	0.0	0.0	0.0	270.0	0.0		0.0	280.0	10.0	40.0	0.0		0.0	8.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	8	میکس #49	190.0	0.0	100.0	0.0	100.0	40.0		0.0	280.0	10.0	40.0	20.0		5.0	8.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	9	سبزیجات #551	200.0	0.0	0.0	0.0	0.0	0.0		0.0	280.0	20.0	50.0	20.0		0.0	28.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	10	فیلادلفیا #552	150.0	0.0	0.0	0.0	0.0	0.0		0.0	280.0	0.0	50.0	20.0		0.0	8.0	0.0	1.0		0.0	110.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	11	 رما آلفردو #553	190.0	0.0	0.0	0.0	270.0	0.0		0.0	280.0	10.0	40.0	0.0		30.0	8.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	12	مکزیکانو #13	190.0	0.0	0.0	0.0	0.0	180.0		0.0	280.0	10.0	40.0	20.0		0.0	8.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	13	مخصوص #768	190.0	0.0	120.0	0.0	0.0	0.0		120.0	280.0	10.0	40.0	0.0		20.0	8.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا ایتالیایی	14	مخصوص #771	190.0	0.0	120.0	0.0	0.0	0.0		120.0	280.0	10.0	40.0	0.0		20.0	8.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	1.0																																
پیتزا سینگل	2	رستبیف #4	95.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	12.0	0.0	14.0	0.0	6.0	0.0	1.0	1.0																																							
پیتزا سینگل	3	میت #780	95.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	180.0	9.0	12.0	15.0	0.0	0.0	6.0	0.0	1.0	1.0																																							
پیتزا سینگل	4	چیکن آلفردو #783	95.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	180.0	9.0	12.0	0.0	0.0	39.0	6.0	4.0	1.0	1.0																																							
پیتزا سینگل	5	مخصوص #782	95.0	0.0	40.0	0.0	0.0	0.0	0.0	40.0	180.0	9.0	12.0	15.0	0.0	0.0	6.0	0.0	1.0	1.0																																							
پیتزا سینگل	6	پپرونی #781	95.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	1.0	1.0																																							
پیتزا سینگل	7	کراکف #784	95.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	180.0	9.0	12.0	15.0	0.0	0.0	6.0	0.0	1.0	1.0																																							
لازانیا	2	لازانیا بلونز #85	230.0	0.0				120.0				20.0	0.0	30.0			0.0																																										
لازانیا	3	لازانیا رست بیف #84	230.0	80.0				0.0				0.0	40.0	30.0			2.0																																										
فرنگی	2	بیف استراگانف #86																										100.0	0.0	30.0	50.0																												
فرنگی	3	چیکن استراگانف #303																										0.0	240.0	30.0	50.0																												
پاستا	2	پاستا پستو #601																0.0											160.0		70.0	6.0	240.0																										
پاستا	3	پاستا پنه مرغ #82																5.0											160.0		70.0	6.0	240.0																										
ساندویچ	2	اینجا برگر #131																										0.0	0.0	0.0	10.0			1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0																	
ساندویچ	3	ماشروم برگر #133																										0.0	0.0	0.0	20.0			1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0																	
ساندویچ	4	چیز برگر #132																										0.0	0.0	0.0	0.0			1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0																	
ساندویچ	5	برگر کلاسیک #138																										0.0	0.0	0.0	0.0			1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0																	
ساندویچ	6	دبل برگر #134																										0.0	0.0	0.0	0.0			2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0																	
ساندویچ	7	هات داگ #139																										0.0	0.0	0.0	10.0			0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0																	
ساندویچ	8	ساندویچ رستبیف #136																										60.0	0.0	30.0	50.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0																	
ساندویچ	9	زینگرپلاس #151																										0.0	0.0	0.0	0.0			0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0																	
ساندویچ	10	گریل چیکن #137																										0.0	160.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0																	
ساندویچ	11	دبل دان #44																										0.0	0.0	0.0	0.0			0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0																	
ساندویچ	12	دبل کینگ #150																										0.0	0.0	0.0	0.0			1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0																	
ساندویچ	13	برگر مخصوص #773																										0.0	0.0	0.0	0.0			1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0																	
ساندویچ	14	برگر مخصوص #769																										0.0	0.0	0.0	0.0			1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0																	
سوخاری	2	فیله استریپس سه تکه #385																																			3.0	0.0	0.0				0.0	90.0	1.0	0.0	1.0	0.0	1.0										
سوخاری	3	فیله استریپس چهار تکه #120																																			4.0	0.0	0.0				0.0	90.0	1.0	0.0	1.0	0.0	1.0										
سوخاری	4	فیله اسپایسی سه تکه #386																																			0.0	3.0	0.0				0.0	90.0	1.0	0.0	1.0	0.0	1.0										
سوخاری	5	فیله اسپایسی چهار تکه #350																																			0.0	4.0	0.0				0.0	90.0	1.0	0.0	1.0	0.0	1.0										
سوخاری	6	بال و کتف سوخاری #122																																			0.0	0.0	0.0				6.0	90.0	1.0	0.0	1.0	0.0	1.0										
سوخاری	7	کریسپی سینه دو تکه #123																																			0.0	0.0	2.0				0.0	90.0	1.0	0.0	1.0	0.0	1.0										
سوخاری	8	قارچ سوخاری #5																																			0.0	0.0	0.0				0.0	0.0	0.0	350.0	0.0	1.0	0.0										
سالاد	2	سالاد سزار #401															8.0												150.0			6.0																		0.0	280.0	0.0	50.0	0.0					
سالاد	3	سالاد چیزا #402															0.0												0.0			6.0																		1.0	240.0	5.0	50.0	1.0					
سالاد	4	سالاد چیزا با پنیر اضافه #407															0.0												0.0			6.0																		1.0	240.0	5.0	50.0	2.0					
استارتر	2	سیب زمینی ویژه #27	0.0								0.0								0.0	0.0											50.0													0.0	0.0	0.0	0.0	0.0	0.0						50.0	5.0	0.0	100.0	
استارتر	3	اینجا باکس #7	0.0								0.0								0.0	0.0											0.0													0.0	0.0	215.0	1.0	0.0	0.0						0.0	0.0	10.0	0.0	
استارتر	4	نان سیر پیتزایی #360	120.0								230.0								1.0	1.0											0.0													0.0	0.0	0.0	0.0	0.0	0.0						0.0	0.0	0.0	0.0	
استارتر	5	سیب پنیر #504	180.0								0.0								1.0	1.0											0.0													0.0	0.0	0.0	0.0	0.0	0.0						0.0	0.0	0.0	0.0	
