sheet	range	type	values
موجودی اول شب	C2:C144	list	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
موجودی اول شب	X100	list	"1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420"
موجودی اول شب	V100	list	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
موجودی اول شب	E2:E144	list	"1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420"
موجودی اول شب	F2:F144 J2:J144 L2:L144 P2:Q144	custom	AND(ISNUMBER(F2),(NOT(OR(NOT(ISERROR(DATEVALUE(F2))), AND(ISNUMBER(F2), LEFT(CELL("format", F2))="D")))))
موجودی اول شب	D2:D144	list	"فروردین,اردیبهشت,خرداد,تیر,مرداد,شهریور,مهر,آبان,آذر,دی,بهمن,اسفند"
موجودی اول شب	W100	list	"فروردین,اردیبهشت,خرداد,تیر,مرداد,شهریور,مهر,آبان,آذر,دی,بهمن,اسفند"
موجودی آخر شب	A2:A135	list	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
موجودی آخر شب	C2:C135	list	"1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420"
موجودی آخر شب	D2:D135 H2:H135 J2:J135 N2:O135	custom	AND(ISNUMBER(D2),(NOT(OR(NOT(ISERROR(DATEVALUE(D2))), AND(ISNUMBER(D2), LEFT(CELL("format", D2))="D")))))
موجودی آخر شب	B2:B135	list	"فروردین,اردیبهشت,خرداد,تیر,مرداد,شهریور,مهر,آبان,آذر,دی,بهمن,اسفند"
