sheet	cell	author	text
خروجی انبار به آماده سازی	G442	unknown	شنیسل 50.900Kg\nکنار شنیسل 11.100Kg
خروجی انبار به آماده سازی	L444	unknown	تولید
خروجی انبار به آماده سازی	M418	unknown	مجموع 36.1kg  راسته گوساله \nخرده راسته داده شده 18.53kg
خروجی انبار به آماده سازی	F405	unknown	به گفته آقای موحدی اضافه خرده راسته به مایه برگر اضافه شد
خروجی انبار به آماده سازی	M444	unknown	از 21Kg راسته پاک نشده\n8.275Kg استیک رولی\n3.595Kg فیلادلفیا\n8.050Kg خرده راسته\nداده است
خروجی انبار به آماده سازی	J415	unknown	0.175kg خرده استیک اضافه شد
خروجی انبار به آماده سازی	F455	unknown	0.870Kg خون آبه داشت
خروجی انبار به آماده سازی	J394	unknown	1.380 kg از خرده استیک
خروجی انبار به آماده سازی	M453	unknown	دراین تاریخ راسته گرم آمد.
خروجی انبار به آماده سازی	M430	unknown	48.200 Kg راسته پاک نشده آمد که تبدیل به فیلادلفیا و استیک رولی و خورده راسته شد
خروجی انبار به آماده سازی	G396	unknown	0.450 kg شنیسل به علت سفت بودن در یخچال آماده سازی نگهداری شد بعد از 2 روز تایین تکلیف گردید و به مرغ پیتزا مرینت شده همان روز (11 تیر) تبدیل گردید. \nوزن درست تحویل داده شده 60.4 kg بوده
خروجی انبار به آماده سازی	M423	unknown	مقدار 42 kg راسته گوساله پاک نشده بوده که فیلادلفیا و استیک رولی و خرده راسته داده ولی بعلت نبودن سلول راسته به تفکیک در هر بخش نوشته شد
خروجی انبار به آماده سازی	M438	unknown	مقدار 20.600Kg راسته گوساله به فیلادلفیا و استیک رولی  و خرده راسته تبدیل شد.
خروجی انبار به آماده سازی	F450	unknown	755g تبدیل به خون آبه شده
خروجی انبار به آماده سازی	K454	unknown	0.945Kg از گلدست منجمد بود(تستی)
خروجی انبار به آماده سازی	J431	unknown	0.280 g خرده استک اضافه شد
خروجی انبار به آماده سازی	J425	unknown	0.255g خرده استیک بود
خروجی انبار به آماده سازی	F443	unknown	110g تبدیل به خون آبه شد
خروجی انبار به آماده سازی	F422	unknown	به گفته خانم ثقفیان 0.64g خون آبه شد
خروجی انبار به آماده سازی	L452	unknown	29.200Kg راسته گوساله بوده که تبدیل به:\nالف: 10.400Kg استیک رولی\nب: 5.415Kg فیلادلفیا\nج: 11.200Kg خرده راسته\nد: 1.770Kg ضایعات راسته
خروجی انبار به آماده سازی	K455	unknown	3.900Kg مغزران منجمد جهت تست
خروجی انبار به آماده سازی	F439	unknown	0.335g خون آبه شده
خروجی انبار به آماده سازی	K396	unknown	5 کیلو مغز ران گوساله  به درخواست آقای موحدی جهت تست رست
ورودی انبار از آماده سازی	C404	unknown	5 عدد جهت تست آماده سازی به آنها تحویل داده شد.(با اضافه کردن مواد به 6 عدد تغییر پیدا کرده که در آماده سازی موجود است.
ورودی انبار از آماده سازی	R433	unknown	از 48.200 Kg راسته پاک نشده\n22.030 Kg خرده راسته\n20.220 Kg استیک رولی\n2.335 Kg فیلادلفیا\n3.245 Kg ضایعات \nتحویل انبار شد
ورودی انبار از آماده سازی	P457	unknown	0.0.870Kg از گلدست منجمدبود(تستی)
ورودی انبار از آماده سازی	R441	unknown	از 20.600Kg راسته گوساله\nالف: استیک رولی 9.870Kg \nب: خرده راسته 7.630Kg\nج: فیلادلفیا 1.400Kg
ورودی انبار از آماده سازی	P458	unknown	از مغزران منجمد تستی
ورودی انبار از آماده سازی	R456	unknown	از 8.800kg گوشت راسته گرم \n\nالف.   5.195  استیک رولی\nب. 2.875  خرده راسته \nتحویل گرفتم.
ضایعات	E303	unknown	الف: 0.065 g از سردست\nب: 0.125 g از درون چرخ گوشت
ضایعات	B302	unknown	از 11.360 kg کنار شنیسل پخته شده
ضایعات	I277	unknown	مقداری تخم بسته بود(بزرگ بودن) مقداری در سردخانه به دلیل خرید جعبه ای لک پوست داشت.
ضایعات	E363	unknown	الف: ضایعات سردست 0.060 گرم\nب: ضایعات خرده راسته 0.320 گرم\nج: ضایعات گوشت برگر(در چرخ گوشت گیر می کند) 0.100 گرم
ضایعات	B318	unknown	از 14.290Kg کنارشنیسل خام
ضایعات	E289	unknown	از گردن چرخی
ضایعات	E275	unknown	الف: ضایعات مایه برگر kg 0.195\nب: ضایعات گوشت راسته  kg 1.71\nج: ضایعات سر دست kg 0.075\nد: ضایعات داخل چرخ گوشت kg 0.1
ضایعات	E329	unknown	الف: 0.365Kg از سردست\nب: 0.205Kg از درون چرخ گوشت
ضایعات	E305	unknown	الف: 0.060g درون چرخ گوشت\nب: 0.065g گردن
ضایعات	E367	unknown	الف: ضایعات مایه برگر 0.195 kg\nب: ضایعات راسته گوساله 1.710 kg\nج: ضایعات سردست گوساله 0.075 kg\nد: ضایعات داخل چرخ گوشت 0.100 kg
ضایعات	E371	unknown	الف: درون چرخ گوشت 0.135kg\nب: مایه برگر 0.040kg
ضایعات	E290	unknown	الف: مغز ران 0.390 kg\nب: راسته گوساله kg2.485
ضایعات	E317	unknown	الف: درون چرخ گوشت 0.110g \nب: 0.005g خرده راسته
ضایعات	E276	unknown	از رست پخته شده
ضایعات	E313	unknown	الف: 0.185g سردست\nب: 0.120g درون چرخگوشت
