sheet	range	group	formula	count	cached	error
 تاریخ	H2		FORMAT_PERSIAN_DATE(CN,DN,EN)	1	1405/05/30	
مواد حساس	F3		LET(\ningredientId, DN,\nstarterSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Starter,Date),\nfriedSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Fried,Date),\nfriTotal,getTotalFoodsIngredientPerDay(ingredientId,friedSalesData,"Table_Ingredients_Fried",Refresher),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\naverage, getAverage({friTotal, stTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G3		LET(\ningredientId, DN,\nstarterSalesData,getLast3DaysRows(Table_SalesData_Starter,Date),\nfriedSalesData,getLast3DaysRows(Table_SalesData_Fried,Date),\nfriTotal,getTotalFoodsIngredientPerDay(ingredientId,friedSalesData,"Table_Ingredients_Fried",Refresher),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\ngetTrendCoefficientLast3Days(friTotal, stTotal)\n)	1	Loading...	Loading...
مواد حساس	H3		getWeekDayCoefficient(Date)	1	1.15	
مواد حساس	I3		LET(\nfarangiData, getPreviousDayRow(Table_KitchenCounter_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J3		LET(\ningredientId, DN,\nstarterSalesData,getPreviousDayRow(Table_SalesData_Starter,Date),\nfriedSalesData,getPreviousDayRow(Table_SalesData_Fried,Date),\nfriTotal,getTotalFoodsIngredientPerDay(ingredientId,friedSalesData,"Table_Ingredients_Fried",Refresher),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\nsum, SUM(friTotal, stTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	K3:K34	1	(((FN*GN)*HN)+JN)-IN	32	Loading...	Loading...
مواد حساس	F4		LET(\ningredientId, DN,\nstarterSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Starter,Date),\nfriedSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Fried,Date),\nfriTotal,getTotalFoodsIngredientPerDay(ingredientId,friedSalesData,"Table_Ingredients_Fried",Refresher),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\ngetAverage({friTotal, stTotal})\n)	1	Loading...	Loading...
مواد حساس	G4		LET(\ningredientId, DN,\nstarterSalesData,getLast3DaysRows(Table_SalesData_Starter,Date),\nfriedSalesData,getLast3DaysRows(Table_SalesData_Fried,Date),\nfriTotal,getTotalFoodsIngredientPerDay(ingredientId,friedSalesData,"Table_Ingredients_Fried",Refresher),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\ngetTrendCoefficientLast3Days(friTotal, stTotal)\n)	1	Loading...	Loading...
مواد حساس	H4		HN	1	1.15	
