sheet	cell	author	text
ضایعات	E367	unknown	1.120 مربوط به ضایعات گوشت راسته و 0.273 مربوط به ضایعات رست بیف.
ضایعات	E376	unknown	مقدار ۰.۶۸۲ ضایعات و خونابه استیک و ۰.۹۰ ضایعات و خونابه گردن
ضایعات	E374	unknown	ضایعات راسته ۱.۸۴۵ و مابقی ضایعات ۰.۸۰۰ رست بیف/ مغزران
ضایعات	E377	unknown	ضایعات برگر ۱.۵۱۰ خرده راسته حاوی دمار و ضایعات بود.\nمابقی ضایعات رست بیف
ضایعات	B367	unknown	1.770 وزن ضایعات کنارشنیسل پخته شده.
ضایعات	E361	unknown	1.615 مربوط به ضایعات گوشت راسته و مابقی ضایعات گردن برای چرخی
ورودی آماده سازی از انبار	F380	unknown	با کسر دمار و ضایعات وزن استفاده شده ۱۵.۶۰۰
ورودی آماده سازی از انبار	C380	unknown	با کسر ضایعات وزن سردست استفاده شده ۱۴.۶۲۵
ورودی آماده سازی از انبار	J371	unknown	ورودی گردن 20.085 + خرده استیک 0.525
ورودی آماده سازی از انبار	J378	unknown	۰.۲۶۵ گرم خرده راسته به گردن اضافه شد
