sheet	range	group	formula	count	cached	error
مغایرت	B4		'تاریخ'!CN	1	3	
مغایرت	C4		'تاریخ'!DN	1	شهریور	
مغایرت	D4		'تاریخ'!EN	1	1405	
مغایرت	E6		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,6)	1	#NAME?	#NAME?
مغایرت	F6		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,6)	1	#NAME?	#NAME?
مغایرت	G6:G12	1	ABS(MINUS(EN,FN))	7	#NAME?	#NAME?
مغایرت	I6		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,2)	1	#NAME?	#NAME?
مغایرت	J6		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,2)	1	#NAME?	#NAME?
مغایرت	K6:K19	2	ABS(MINUS(JN,IN))	14	#NAME?	#NAME?
مغایرت	E7		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,3)	1	#NAME?	#NAME?
مغایرت	F7		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,3)	1	#NAME?	#NAME?
مغایرت	I7		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,3)	1	#NAME?	#NAME?
مغایرت	J7		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,3)	1	#NAME?	#NAME?
مغایرت	E8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,7)	1	#NAME?	#NAME?
مغایرت	F8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,7)	1	#NAME?	#NAME?
مغایرت	I8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,4)	1	#NAME?	#NAME?
مغایرت	J8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,5)	1	#NAME?	#NAME?
مغایرت	E9		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,8)	1	#NAME?	#NAME?
مغایرت	F9		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,8)	1	#NAME?	#NAME?
مغایرت	I9		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,5)	1	#NAME?	#NAME?
مغایرت	J9		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,6)	1	#NAME?	#NAME?
مغایرت	E10		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,9)	1	#NAME?	#NAME?
مغایرت	F10		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,9)	1	#NAME?	#NAME?
مغایرت	I10		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,6)	1	#NAME?	#NAME?
مغایرت	J10		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,7)	1	#NAME?	#NAME?
مغایرت	E11		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,10)	1	#NAME?	#NAME?
مغایرت	F11		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,10)	1	#NAME?	#NAME?
مغایرت	I11		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,7)	1	#NAME?	#NAME?
مغایرت	J11		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,8)	1	#NAME?	#NAME?
مغایرت	E12		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,11)	1	#NAME?	#NAME?
مغایرت	F12		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,11)	1	#NAME?	#NAME?
مغایرت	I12		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,8)	1	#NAME?	#NAME?
مغایرت	J12		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,10)	1	#NAME?	#NAME?
مغایرت	I13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,9)	1	#NAME?	#NAME?
مغایرت	J13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,11)	1	#NAME?	#NAME?
مغایرت	I14		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,10)	1	#NAME?	#NAME?
مغایرت	J14		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,13)	1	#NAME?	#NAME?
مغایرت	I15		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,11)	1	#NAME?	#NAME?
مغایرت	J15		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,15)	1	#NAME?	#NAME?
مغایرت	E16		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,2)	1	#NAME?	#NAME?
مغایرت	F16		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,2)	1	#NAME?	#NAME?
مغایرت	G16:G18	3	ABS(MINUS(EN,FN))	3	#NAME?	#NAME?
مغایرت	I16		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,12)	1	#NAME?	#NAME?
مغایرت	J16		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,14)	1	#NAME?	#NAME?
مغایرت	E17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,4)	1	#NAME?	#NAME?
مغایرت	F17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,4)	1	#NAME?	#NAME?
مغایرت	I17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,13)+GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,14)	1	#NAME?	#NAME?
مغایرت	J17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,17)+GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,19)	1	#NAME?	#NAME?
مغایرت	E18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,5)	1	#NAME?	#NAME?
مغایرت	F18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,5)	1	#NAME?	#NAME?
مغایرت	I18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,15)	1	#NAME?	#NAME?
مغایرت	J18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,21)	1	#NAME?	#NAME?
مغایرت	I19		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,16)	1	#NAME?	#NAME?
مغایرت	J19		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,22)	1	#NAME?	#NAME?
مواد اولیه	B4		'تاریخ'!CN	1	3	
