name	scope	formula
FILTER_BY_DATE	workbook	LAMBDA(data, date, FILTER(data, INDEX(data,,1) = DATEVALUE(date)\n))
GET_CELL_VALUE_BY_PERSIAN_DATE	workbook	LAMBDA(day, month, year, data, colindex, LET(\ndate,JALALI_TO_GREG(\nFORMAT_PERSIAN_DATE(day,month,year)),\n filteredData, FILTER_BY_DATE(data,date),\nINDEX(filteredData,,colindex)\n))
Accounting_Statistics	workbook	'Accounting-Statistics'!$A:$N
SheetsFileId_Accounting_Chalebagh	workbook	SheetsFileIds!$B$3
Prep_PrepInputFromWarehouse	workbook	'Prep-PrepInputFromWarehouse'!$A:$K
Prep_PrepOutputToWarehouse	workbook	'Prep-PrepOutputToWarehouse'!$A:$W
Kitchen_Dough_Chalebagh	Kitchen_Dough_Naharkhoran	Kitchen_Dough_Naharkhoran!$A:$E
SheetsFileId_PrepSection_Chalebagh	workbook	SheetsFileIds!$B$8
SheetsFileId_CashRegister_Chalebagh	workbook	SheetsFileIds!$B$4
Salon_Recipts_Chalebagh	workbook	'Salon-Recipts-Chalebagh'!$A:$D
CashRegister_Recipts_Naharkhoran	workbook	'CashRegister-Recipts-Naharkhora'!$A:$D
SheetsFileId_Salon_Chalebagh	workbook	SheetsFileIds!$B$5
CashRegister_Recipts_Chalebagh	workbook	'CashRegister-Recipts-Chalebagh'!$A:$D
SheetsFileId_Kitchen_Chalebagh	workbook	SheetsFileIds!$B$7
Accounting_Mismatch_NaharKhoran	workbook	'Accounting-Mismatch-NaharKhoran'!$A:$AI
Salon_Recipts_Naharkhoran	workbook	'Salon-Recipts-Naharkhoran'!$A:$D
Prep_Waste	workbook	'Prep-Waste'!$A:$E
SheetsFileId_Logestic_Naharkhoran	workbook	SheetsFileIds!$B$12
Warehouse_WarehouseOutputToPrep	workbook	'Warehouse-WarehouseOutputToPrep'!$A:$S
Kitchen_Dough_Chalebagh	workbook	'Kitchen-Dough-Chalebagh'!$A:$E
SheetsFileId_Warehouse_Chalebagh	workbook	SheetsFileIds!$B$2
SheetsFileId_Logestic_Chalebagh	workbook	SheetsFileIds!$B$6
SheetsFileId_CashRegister_Naharkhoran	workbook	SheetsFileIds!$B$9
Prep_Dough	workbook	'Prep-Dough'!$A:$E
Warehouse_OtherWaste	workbook	'Warehouse-Waste'!$G:$I
Warehouse_WarehouseInputFromPrep	workbook	'Warehouse-WarehouseInputFromPre'!$A:$S
SheetsFileId_Salon_Naharkhoran	workbook	SheetsFileIds!$B$10
Accounting_CashRegisterClosingReport	workbook	'Accounting-CashRegisterClosingR'!$A:$E
SheetsFileId_Kitchen_Naharkhoran	workbook	SheetsFileIds!$B$11
Accounting_Mismatch_Chalebagh	workbook	'Accounting-Mismatch-Chalebagh'!$A:$AI
Warehouse_ChickenAndBeafWaste	workbook	'Warehouse-Waste'!$A:$E
Kitchen_Dough_Naharkhoran	workbook	Kitchen_Dough_Naharkhoran!$A:$E
FORMAT_PERSIAN_DATE	workbook	LAMBDA(day, month, year, TEXT(year, "0000") & "/" & TEXT(MATCH(month, {"فروردین","اردیبهشت","خرداد","تیر","مرداد","شهریور","مهر","آبان","آذر","دی","بهمن","اسفند"}, 0), "00") & "/" & TEXT(day, "00"))
IMPORT_FROM_SHEET	workbook	LAMBDA(sheetsfileid, sheetname, datarange, IMPORTRANGE("https://docs.google.com/spreadsheets/d/" & sheetsfileid, sheetname & "!" & datarange))
