sheet	row	Range Name Associated	Sheets File Id
SheetsFileIds	2	SheetsFileId_Warehouse_Chalebagh	1Lvzs0LpP_IO8aZ1ojJst6YAS9WVeR9_4urnbvVv8L90
SheetsFileIds	3	SheetsFileId_Accounting_Chalebagh	1MRTM9BV9y0bHGM79QxkE6pHhCdy45aT9hSQXGKJOWHo
SheetsFileIds	4	SheetsFileId_CashRegister_Chalebagh	1XSoT0g0qz-ym70FFFtrs-kdJfFla5YGpQUl8gdpiEk0
SheetsFileIds	5	SheetsFileId_Salon_Chalebagh	1BzP-hyVqHVgkZekkycaPKpSDFcrdACV34oQJjb_VU9E
SheetsFileIds	6	SheetsFileId_Logestic_Chalebagh	1HU-BLILTttXZCa2KiR5sjSSLn_8cbiVUmzyK5ffoOnU
SheetsFileIds	7	SheetsFileId_Kitchen_Chalebagh	12Q9yQLrfJaWkasZfeK8ACp131CBgjhJ8mRkvQYC04P8
SheetsFileIds	8	SheetsFileId_PrepSection_Chalebagh	1fAFZ5SbwDIoulj33mPIyyrpvSRBV6EUVQsorQ8MN2Ag
SheetsFileIds	9	SheetsFileId_CashRegister_Naharkhoran	1KtuTDdlFqrTOzWbIJwbjOkxGJFwu93Eo6cVZWvcu8Jk
SheetsFileIds	10	SheetsFileId_Salon_Naharkhoran	1CSidDar4ql88gHKCQT5q7mJg0Qt3LCL9_Ar_pB5pugg
SheetsFileIds	11	SheetsFileId_Kitchen_Naharkhoran	1AuKUUFs6nvBzHlZ0IDFoYNeP5fXFCbYqGFDPVe6Cl_8
SheetsFileIds	12	SheetsFileId_Logestic_Naharkhoran	1t1NLNpeG6pyk7dNd_Cxb0DynTiCjBqCXkqEmI4r3FaQ
